n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
O=C(/C(S/1)=C/C(C2=NN(CCCCCCCC)N=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=CC=C(/C=C%12S/C(N(CC)C\%12=O)=C(C#N)/C#N)C%13=NN(CCCCCCCC)N=C%11%13)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=C([N+]#[C-])\C#N,10.5,10.35,13.16,0.666,1.24,1.76,1772.51,5.489999999999999,3.73
O=C(/C(S/1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=CC=C(/C=C%12S/C(N(CC)C\%12=O)=C(C#N)\C#N)C%13=NSN=C%11%13)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=C([N+]#[C-])\C#N,8.13,8.13,14.66,0.609,0.91,1.5,1582.17,5.45,3.95
O=C(/C(S/1)=C/C(S2)=C(CCCCCCCC)C=C2C(C=C3)=CC4=C3C5=CC=C(C6=CC(CCCCCCCC)=C(/C=C7S/C(N(CCCCCCCC)C\7=O)=C(C#N)/C#N)S6)C=C5C84C9=CC(C%10=CC(CCCCCCCC)=C(/C=C%11S/C(N(CCCCCCCC)C\%11=O)=C(C#N)/C#N)S%10)=CC=C9C%12=C8C=C(C%13=CC(CCCCCCCC)=C(/C=C%14S/C(N(CCCCCCCC)C\%14=O)=C(C#N)/C#N)S%13)C=C%12)N(CCCCCCCC)C1=C(C#N)/C#N,4.48,4.42,7.58,0.633,0.912,2.26,2243.27,5.55,3.29
O=C(/C(S/1)=C/C(S2)=C3C(C=C(C(OCC(CC)CCCC)=O)S3)=C2C(S4)=CC5=C4C6=CC(C(CCCCCC)(CCCCCC)C7=C8SC(C9=C(C=C(C(OCC(CC)CCCC)=O)S%10)C%10=C(/C=C(S/%11)/C(N(CC)C%11=C(C#N)/C#N)=O)S9)=C7)=C8C=C6C5(CCCCCC)CCCCCC)N(CC)C1=C(C#N)\C#N,12.36,11.97,18.56,0.7,0.927,1.81,1598.32,5.41,3.6
O=C(/C(S/1)=C/C(S2)=C3C(C=C(C(OCCCCCCCC)=O)S3)=C2C(S4)=CC5=C4C6=CC(C(CCCCCC)(CCCCCC)C7=C8SC(C9=C(C=C(C(OCCCCCCCC)=O)S%10)C%10=C(/C=C(S/%11)/C(N(CC)C%11=C(C#N)/C#N)=O)S9)=C7)=C8C=C6C5(CCCCCC)CCCCCC)N(CC)C1=C(C#N)\C#N,11.22,10.92,17.13,0.68,0.925,1.79,1598.32,5.41,3.62
O=C(/C(S/1)=C/C2=CC=C(C(C=C3)=CC4=C3C5=C(C4(CCCC)CCCC)C6=C(C(CCCC)(CCCC)C7=C6C=CC(C8=CC=C(/C=C9S/C(N(CC)C\9=O)=C(C#N)\C#N)C%10=NSN=C8%10)=C7)C%11=C5C(CCCC)(CCCC)C%12=C%11C=CC(C%13=CC=C(/C=C%14S/C(N(CC)C\%14=O)=C(C#N)\C#N)C%15=NSN=C%13%15)=C%12)C%16=NSN=C2%16)N(CC)C1=C(C#N)\C#N,8.29,8.02,13.75,0.635,0.95,2.27,1691.21,5.98,3.71
O=C(/C(S/1)=C/C2=CC=C(C(C=C3)=CC4=C3C5=CC=C(C6=CC=C(/C=C7S/C(N(CC)C\7=O)=C(C#N)\C#N)C8=NSN=C68)C=C5C49C(C=CC(OCCCCCCCC)=C%10)=C%10C%11=CC(OCCCCCCCC)=CC=C%119)C%12=NSN=C2%12)N(CC)C1=C(C#N)/C#N,10.1,9.87,17.11,0.649,0.91,2.07,1247.58,5.93,3.86
O=C(/C(S/1)=C/C2=CC=C(C3=NSN=C32)C4=CC=C(C5=CC=C(C=C5C6(CCCCCCCC)CCCCCCCC)C7=CC=C(/C=C8C(N(/C(S/8)=C(C#N)/C#N)CC)=O)C9=NSN=C97)C6=C4)N(CC)C1=C(C#N)/C#N,3.3,3.1,7.8,0.31,0.998,2.07,1065.41,5.84,3.77
O=C(/C(S/1)=C/C2=CC=C(C3=NSN=C32)C4=CC=C(C5=CC=C(C=C5C67C8=CC(C(C9=NSN=C9%10)=CC=C%10/C=C%11S/C(N(CC)C\%11=O)=C(C#N)/C#N)=CC=C8C%12=CC=C(C=C%127)C%13=CC=C(C%14=NSN=C%14%13)/C=C%15C(N(/C(S/%15)=C(C#N)/C#N)CC)=O)C%16=CC=C(/C=C%17C(N(/C(S/%17)=C(C#N)/C#N)CC)=O)C%18=NSN=C%18%16)C6=C4)N(CC)C1=C(C#N)/C#N,1.42,1.32,4.4,0.333,0.91,2.12,1665.9,5.89,3.77
O=C(/C(S1)=C/C(C2=NN(CCCCCCCC)N=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=CC=C(/C=C%12SC(N(CC)C\%12=O)=O)C%13=NN(CCCCCCCC)N=C%11%13)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=O,0.26,0.26,0.84,0.239,1.29,2.0,1676.41,5.43,3.43
O=C(/C(S1)=C/C(C2=NN(CCCCCCCC)N=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=CC=C(/C=C%12SC(N(CC)C\%12=O)=S)C%13=NN(CCCCCCCC)N=C%11%13)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,3.02,2.98,5.21,0.467,1.24,1.87,1708.53,5.46,3.59
O=C(/C(S1)=C/C(C2=NON=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NON=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,7.74,7.67,15.98,0.547,0.89,1.56,1293.89,5.49,3.93
O=C(/C(S1)=C/C(C2=NSN=C32)=C(F)C(F)=C3C(S4)=CC5=C4C6=CC(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C%10SC(C%11=C(F)C(F)=C(/C=C%12SC(N(CC)C\%12=O)=S)C%13=NSN=C%11%13)=C9)=C%10C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)N(CC)C1=S,6.34,6.24,11.77,0.523,1.013,1.94,1590.15,5.71,3.77
O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(C=C4)=CC5=C4C6=CC(C(CC(CC)CCCC)(CC(CC)CCCC)C7=C8C=CC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CC(CC)CCCC)CC(CC)CCCC)N(CC)C1=S,3.3,3.3,7.7,0.577,0.74,1.57,1313.97,5.45,3.88
O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(C=C4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8C=CC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,5.6,5.6,12.4,0.616,0.74,1.57,1313.97,5.46,3.89
O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CC(CC)CCCC)(CC(CC)CCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CC(CC)CCCC)CC(CC)CCCC)N(CC)C1=S,12.0,11.8,18.5,0.63,1.03,1.63,1326.02,5.512857142857143,3.851428571428571
O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,11.6,11.2,16.26,0.636,1.08,1.63,1326.02,5.534285714285714,3.857142857142857
O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC=C4C5=CC(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC(C%10=CC=C(/C=C%11SC(N(CC)C\%11=O)=S)C%12=NSN=C%10%12)=C8)=C9C=C5)N(CC)C1=S,8.7,8.4,13.1,0.639,1.04,1.6,1185.66,5.25,3.65
O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC=C4C5=CC(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC(C%10=CC=C(/C=C%11SC(N(CCCCCC)C\%11=O)=S)C%12=NSN=C%10%12)=C8)=C9C=C5)N(CCCCCC)C1=S,5.6,5.0,10.3,0.523,1.03,1.61,1297.88,5.28,3.67
O=C(/C(S1)=C/C(C2=N[Se]N=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=N[Se]N=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,6.95,6.88,13.95,0.524,0.95,1.53,1419.82,5.41,3.88
O=C(/C(S1)=C/C(S2)=C(CCCCCCCC)C=C2C(C=C3)=CC4=C3C5=CC=C(C6=CC(CCCCCCCC)=C(/C=C7SC(N(CCCCCCCC)C\7=O)=S)S6)C=C5C84C9=CC(C%10=CC(CCCCCCCC)=C(/C=C%11SC(N(CCCCCCCC)C\%11=O)=S)S%10)=CC=C9C%12=C8C=C(C%13=CC(CCCCCCCC)=C(/C=C%14SC(N(CCCCCCCC)C\%14=O)=S)S%13)C=C%12)N(CCCCCCCC)C1=S,4.66,4.46,7.3,0.629,0.965,2.25,2115.32,5.5,3.25
O=C(/C(S1)=C/C2=CC=C(C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(C=C3)C(C4=C5)=CC=C5C6=CC=C(/C=C7SC(N(CC)C\7=O)=S)S6)S2)N(CC)C1=S,3.08,3.0,5.7,0.53,1.03,2.1,897.36,5.58,3.48
O=C(/C(S1)=C/C2=CC=C(C3=CC(N4C(CCCCCCCC)CCCCCCCC)=C(C=C3)C(C4=C5)=CC=C5C6=CC=C(/C=C7SC(N(CC)C\7=O)=S)S6)S2)N(CC)C1=S,2.56,2.44,4.69,0.53,1.03,2.05,912.37,5.53,3.48
O=C(/C(S1)=C/C2=CC=C(C3=CC=C(C4=CC=C(C(C=CC(C5=CC=C(C6=CC=C(/C=C7SC(N(CC)C\7=O)=S)O6)C8=NSN=C58)=C9)=C9C%10(CC(CC)CCCC)CC(CC)CCCC)C%10=C4)C%11=NSN=C3%11)O2)N(CC)C1=S,9.4,9.2,15.7,0.723,0.833,2.09,1133.55,5.67,3.58
O=C(C(C(C=CC=C1)=C1S2)=C2C/3=C(C#N)/C#N)C3=C/C(S4)=CC5=C4C(C=C(N6C(CCCCCC)CCCCCC)C(C7=CC(C(C(C=C8)=CC=C8CCCCCC)(C9=C%10SC(/C=C%11/C(C(SC%12=C%13C=CC=C%12)=C%13C%11=O)=C(C#N)/C#N)=C9)C(C=C%14)=CC=C%14CCCCCC)=C%10C=C67)=C%15)=C%15C5(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17,10.74,10.46,17.22,0.636,0.98,1.65,1699.4,5.46,3.81
O=C(C(C(C=CC=C1)=C1S2)=C2C/3=C(C#N)/C#N)C3=C/C(S4)=CC5=C4C6=C(C(C7=CC=C(CCCCCCCC)C=C7)5C8=CC=CC(CCCCCCCC)=C8)C=C9C(N(C(CCCCCCCC)CCCCCCCC)C%10=C9C=C%11C(C(SC(/C=C%12C(C%13=C(SC%14=C%13C=CC=C%14)C\%12=C(C#N)\C#N)=O)=C%15)=C%15C%11(C%16=CC=C(CCCCCCCC)C=C%16)C%17=CC=C(CCCCCCCC)C=C%17)=C%10)=C6,9.25,9.25,14.26,0.641,0.97,1.65,1867.73,5.46,3.81
O=C(C(C=C(Br)C=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=CC(Br)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,16.32,16.09,24.79,0.748,0.88,1.53,1537.77,5.52,3.99
O=C(C(C=C(C=CC=C1)C1=C2)=C2C/3=C(C#N)\C#N)C3=C/C4=CC(C5(C6=CC=C(OCC(CC)CCCC)C=C6)C7=CC=C(OCC(CC)CCCC)C=C7)=C(C8=C5C9=CC(C=CC%10=C%11C(C%12=CC=C(OCC(CC)CCCC)C=C%12)(C%13=CC=C(OCC(CC)CCCC)C=C%13)C%14=C%10SC(/C=C%15C(C(C=C(C=CC=C%16)C%16=C%17)=C%17C\%15=C(C#N)\C#N)=O)=C%14)=C%11C=C9C=C8)S4,10.91,10.68,17.11,0.694,0.919,1.64,1692.24,5.44,3.8
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C5(C(C=C6)=CC=C6CCCCCC)C(C=C7)=CC=C7CCCCCC)=C(C8=C5C=C9C(SC%10=C%11SC(C%12=CC%13=C%14C(SC%15=C%16SC(/C=C%17C(C(C=C(Cl)C(Cl)=C%18)=C%18C\%17=C(C#N)\C#N)=O)=C%15)=C%16C(C(C=C%19)=CC=C%19CCCCCC)%13C(C=C%20)=CC=C%20CCCCCC)=C%10C(C(C=C%21)=CC=C%21CCCCCC)(C%12=C%14)C(C=C%22)=CC=C%22CCCCCC)=C%11C(C(C=C%23)=CC=C%23CCCCCC)(C9=C8)C(C=C%24)=CC=C%24CCCCCC)S4,9.3,9.2,18.5,0.669,0.75,1.31,2445.09,5.26,3.95
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C(CCCCCCCC)(CCCCCCCC)C4=C5C=C(C6(CCCCCCCC)CCCCCCCC)C(C(C6=C7)=CC8=C7C(SC(/C=C9/C(C%10=C(C9=O)C=C(Cl)C(Cl)=C%10)=C(C#N)\C#N)=C%11)=C%11C8(CCCCCCCC)CCCCCCCC)=C4)=C5S3,13.8,13.8,19.74,0.78,0.893,1.64,1573.93,5.577777777777778,3.811111111111111
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(C(C=C5)=CC=C5CCCCCC)C(C=C6)=CC=C6CCCCCC)=C(C7=C4C=C8C(SC9=C%10SC(C%11=CC%12=C%13C(SC(/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%16)=C%16C(C(C=C%17)=CC=C%17CCCCCC)%12C(C=C%18)=CC=C%18CCCCCC)=C9C(C(C=C%19)=CC=C%19CCCCCC)(C%11=C%13)C(C=C%20)=CC=C%20CCCCCC)=C%10C(C(C=C%21)=CC=C%21CCCCCC)(C8=C7)C(C=C%22)=CC=C%22CCCCCC)S3,10.7,10.6,18.9,0.666,0.85,1.44,2332.92,5.35,3.91
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(F)C=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(Cl)C(Cl)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(F)=C6,11.75,11.6,18.13,0.721,0.89,1.67,1461.6,5.54,3.87
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4SC9=C8SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=C(Cl)C(Cl)=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)=C5S3,12.01,11.65,21.6,0.699,0.795,1.39,1627.83,5.413333333333333,4.07
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,11.2,11.2,22.5,0.71,0.7,1.4,1836.18,5.49,4.09
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(OCC(CC)CCCC)C=C5)C6=CC=C(OCC(CC)CCCC)C=C6)=C(C7=C4C8=CC(C=CC9=C%10C(C%11=CC=C(OCC(CC)CCCC)C=C%11)(C%12=CC=C(OCC(CC)CCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C=C8C=C7)S3,13.27,13.1,19.52,0.755,0.901,1.82,1729.89,5.71,3.89
O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC([Si]4(CCCCCCCCC)CCCCCCCC)=C(S3)C5=C4C6=C(CCCCCC)C(SC7=C8[Si](CCCCCCCC)(CCCCCCCC)C9=C7SC(/C=C%10C(C(C=C(Cl)C(Cl)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)=C8C(CCCCCC)=C6S5,7.9,7.7,16.4,0.6,0.79,1.44,1588.04,5.45,4.01
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(C=CC5=C6C=CC7=C5C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C7SC(/C=C%11C(C(C=C(F)C(F)=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%10)=C6C4(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14,7.45,7.3,15.7,0.612,0.775,1.83,1437.81,5.69,3.86
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(SC5=C6SC7=C5N(C(CCCCCCCC)CCCCCCCC)C8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)=C6N4C(CCCCCCCC)CCCCCCCC,13.2,12.5,23.2,0.73,0.78,1.41,1287.71,5.52,4.11
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C(CCCCCC)=CC6=C7C=C(CCCCCC)C8=C6SC9=C8C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C9SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)=C7S5)C4(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,12.3,12.1,19.7,0.693,0.9,1.63,1718.3,5.41,3.78
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C=C(CCCCCCCCCCCC)C6=C7C(CCCCCCCCCCCC)=CC8=C6SC9=C8C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C9SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)=C7S5)C4(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,7.52,7.44,15.19,0.563,0.88,1.49,1886.63,5.43,3.94
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(C4=CC=C(CCCCCC)C=C4)C(SC5=C6N(CC(CC)CCCC)C7=C5C8=NSN=C8C9=C7N(CC(CC)CCCC)C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)\C#N)=C%11C%14=CC=C(CCCCCC)C=C%14)=C6S3,17.1,16.7,24.3,0.753,0.882,1.74,1463.86,5.585,3.82
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(C4=CC=C(CCCCCCCC)S4)C(SC5=C6N(CC(CC)CCCC)C7=C5C8=NSN=C8C9=C7N(CC(CC)CCCC)C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)\C#N)=C%11C%14=CC=C(CCCCCCCC)S%14)=C6S3,16.8,16.4,24.8,0.747,0.872,1.82,1532.02,5.6,3.78
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(C4=CC=CC(CCCCCC)=C4)C(SC5=C6N(CC(CC)CCCC)C7=C5C8=NSN=C8C9=C7N(CC(CC)CCCC)C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)\C#N)=C%11C%14=CC=CC(CCCCCC)=C%14)=C6S3,17.7,17.3,24.8,0.774,0.878,1.73,1463.86,5.59,3.86
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(C4=CC=CC=C4CCCCCC)C(SC5=C6N(CC(CC)CCCC)C7=C5C8=NSN=C8C9=C7N(CC(CC)CCCC)C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)\C#N)=C%11C%14=CC=CC=C%14CCCCCC)=C6S3,16.0,15.6,22.5,0.743,0.92,1.77,1463.86,5.53,3.76
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(S4)=C(S3)C5=C4C6=C(N5CC(CC)CCCC)C7=C(C(SC8=C9SC(/C=C%10/C(C%11=C(C%10=O)C=C(F)C(F)=C%11)=C(C#N)/C#N)=C8CCCCCCCCCCC)=C9N7CC(CC)CCCC)C%12=NSN=C6%12,13.03,12.6,25.1,0.649,0.8,1.5,1451.94,5.6,4.1
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,18.22,18.22,27.7,0.766,0.859,1.55,1451.94,5.646511627906977,4.082093023255814
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CCCCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CCCCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,16.4,15.9,25.3,0.76,0.855,1.62,1564.15,5.753333333333333,4.086666666666666
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(CCC(CC)CCCC)C6=C4C7=NSN=C7C8=C6N(CCC(CC)CCCC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C5S3,15.59,15.39,25.76,0.717,0.844,1.62,1479.99,5.68,4.06
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7C=C(N8CC(CCCCCC)CCCCCCCC)C(C(C8=C9)=CC%10=C9C(SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%13)=C%13C%10(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C6)=C7S3,11.18,11.1,18.64,0.662,0.9,1.96,1701.28,5.95,3.99
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(C(C=C5)=CC=C5CCCCCC)C(C=C6)=CC=C6CCCCCC)=C(C7=C4C(C=C(C(C8=CC(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C=C%168)=C%17)C%16(CCCCCCCC)CCCCCCCC)=C%17S7)S3,9.58,9.54,19.01,0.586,0.86,1.48,1812.46,5.49,4.01
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(F)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(F)=C6F,9.09,9.09,13.76,0.734,0.91,1.8,1431.78,5.66,3.86
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(F)C=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(F)=C6,10.9,10.79,17.24,0.71,0.89,1.7,1395.8,5.53,3.83
O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CC(CC)CCCC)CC(CC)CCCC)=C(S3)C5=C4C=C(S5)C6=C(OC)C(F)=C(C(S7)=CC8=C7C(SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CC(CC)CCCC)CC(CC)CCCC)C(OC)=C6F,8.36,8.36,12.62,0.71,0.93,1.69,1455.85,5.5,3.81
